CustomerID,Age,Income,Gender,City,PurchaseFrequency,LastPurchaseDays,SpendingScore,ProductCategory,MembershipStatus
7035,27.0,61608.0,Female,Delhi,7,356,77.0,Beauty,Gold
6928,65.0,,Male,Pune,18,46,89.0,Beauty,Gold
622,66.0,29269.0,Female,Pune,11,296,59.0,Electronics,Basic
7873,54.0,23889.0,Male,Bhopal,9,337,26.0,Fashion,Gold
1875,44.0,55191.0,Female,Mumbai,18,185,11.0,Beauty,Gold
9753,66.0,58944.0,Female,Pune,16,242,77.0,Fashion,Basic
4388,33.0,43490.0,Male,Bhopal,1,216,58.0,Beauty,Gold
2737,63.0,30305.0,Male,Bhopal,2,302,44.0,Fashion,Basic
4058,20.0,47701.0,Female,Delhi,19,13,54.0,Fashion,Gold
502,56.0,75267.0,Male,Mumbai,15,143,18.0,Grocery,Gold
2599,49.0,46617.0,Female,Indore,18,326,20.0,Sports,Basic
4515,33.0,59553.0,Male,Mumbai,15,193,64.0,Sports,Basic
7320,47.0,75181.0,Female,Indore,9,59,9.0,Beauty,Basic
2339,50.0,66600.0,Male,Bhopal,13,353,68.0,Sports,Gold
856,45.0,71180.0,Female,Delhi,12,126,7.0,Sports,Basic
1815,,64955.0,Male,Delhi,9,289,31.0,Electronics,Silver
8538,30.0,54944.0,Female,Pune,19,253,12.0,Electronics,Silver
5775,56.0,71510.0,Male,Mumbai,15,339,13.0,Fashion,Gold
8639,36.0,43472.0,Male,Mumbai,10,219,75.0,Sports,Basic
985,41.0,40142.0,Male,Bhopal,2,299,52.0,Sports,Gold
5702,30.0,16735.0,Male,Pune,12,11,30.0,Sports,Silver
9599,42.0,37117.0,Female,Bhopal,7,167,50.0,Beauty,Basic
2932,,44025.0,Female,Mumbai,13,54,98.0,Sports,Basic
5848,25.0,33372.0,Female,Bhopal,17,111,99.0,Fashion,Basic
1271,61.0,38404.0,Male,Mumbai,18,235,87.0,Beauty,Basic
3415,55.0,79611.0,Female,Bhopal,9,263,56.0,Electronics,Silver
5598,60.0,55899.0,Male,Indore,13,283,4.0,Fashion,Gold
7436,33.0,56261.0,Female,Delhi,2,50,59.0,Grocery,Silver
1342,66.0,78198.0,Male,Pune,13,143,45.0,Electronics,Gold
2597,61.0,78779.0,Female,Mumbai,10,222,36.0,Electronics,Basic
8682,,,Male,Delhi,15,358,87.0,Sports,Silver
9270,36.0,46289.0,Male,Indore,11,186,98.0,Beauty,Gold
1985,61.0,66421.0,Male,Mumbai,6,188,99.0,Sports,Silver
9158,53.0,58037.0,Female,Mumbai,19,53,31.0,Fashion,Basic
4356,41.0,24932.0,Female,Mumbai,12,16,7.0,Sports,Silver
5717,28.0,54322.0,Male,Pune,15,233,57.0,Grocery,Basic
7142,62.0,67362.0,Male,Indore,15,90,6.0,Grocery,Gold
4149,20.0,49819.0,Male,Delhi,4,231,48.0,Electronics,Gold
1789,26.0,53613.0,Male,Mumbai,14,250,32.0,Electronics,Basic
8109,59.0,46365.0,Female,Mumbai,7,278,33.0,Beauty,Basic
3176,31.0,45677.0,Male,Pune,5,184,30.0,Grocery,Basic
5833,62.0,46322.0,Male,Delhi,11,356,9.0,Electronics,Silver
8761,49.0,27300.0,Male,Pune,18,246,43.0,Fashion,Silver
6725,20.0,37934.0,Male,Indore,19,285,80.0,Grocery,Silver
1544,53.0,57645.0,Male,Delhi,17,179,55.0,Grocery,Silver
5054,28.0,51856.0,Male,Pune,6,86,50.0,Beauty,Basic
9816,41.0,38405.0,Male,Indore,5,48,78.0,Electronics,Silver
4355,69.0,58045.0,Female,Indore,11,357,82.0,Fashion,Basic
4232,53.0,45147.0,Male,Bhopal,13,243,51.0,Grocery,Silver
5053,57.0,50898.0,Male,Mumbai,14,105,95.0,Grocery,Silver
8251,22.0,56569.0,Female,Mumbai,17,98,67.0,Electronics,Silver
9579,59.0,32974.0,Male,Bhopal,8,212,81.0,Sports,Basic
2951,20.0,,Male,Indore,2,59,86.0,Electronics,Silver
6682,60.0,,Male,Delhi,4,292,12.0,Sports,Silver
4097,42.0,59383.0,Female,Delhi,19,312,32.0,Grocery,Basic
3964,97.0,388770.0,Female,Delhi,9,274,14.0,Beauty,Basic
5347,49.0,42007.0,Male,Delhi,7,116,89.0,Beauty,Silver
1023,62.0,36593.0,Female,Delhi,5,296,90.0,Fashion,Gold
8698,35.0,31026.0,Female,Pune,5,123,26.0,Sports,Silver
6778,45.0,43271.0,Male,Bhopal,2,131,1.0,Electronics,Gold
2525,56.0,44367.0,Female,Bhopal,1,85,96.0,Fashion,Silver
7345,64.0,29626.0,Female,Bhopal,15,157,16.0,Fashion,Silver
460,50.0,56417.0,Female,Mumbai,8,124,28.0,Sports,Gold
539,69.0,50508.0,Male,Pune,8,57,99.0,Electronics,Gold
2,69.0,57130.0,Male,Delhi,7,314,40.0,Sports,Gold
5411,34.0,36804.0,Male,Bhopal,4,255,57.0,Grocery,Basic
898,47.0,60469.0,Male,Mumbai,8,35,37.0,Beauty,Silver
2713,24.0,71704.0,Male,Pune,19,164,57.0,Beauty,Basic
4444,36.0,55428.0,Female,Pune,5,67,16.0,Beauty,Silver
1364,66.0,57466.0,Female,Bhopal,3,154,73.0,Electronics,Silver
7144,64.0,57369.0,Male,Delhi,13,163,3.0,Fashion,Basic
222,19.0,51171.0,Female,Mumbai,19,120,7.0,Beauty,Gold
2892,34.0,56662.0,Female,Pune,1,135,66.0,Beauty,Basic
8640,29.0,36878.0,Female,Mumbai,10,254,89.0,Fashion,Basic
8372,68.0,43666.0,Female,Indore,11,223,88.0,Fashion,Silver
5698,56.0,45970.0,Female,Mumbai,17,51,81.0,Electronics,Silver
5768,55.0,27088.0,Female,Pune,8,267,33.0,Electronics,Gold
7960,69.0,32491.0,Male,Delhi,16,28,16.0,Fashion,Silver
1703,42.0,73912.0,Male,Pune,11,121,12.0,Beauty,Basic
789,65.0,87461.0,Female,Pune,2,183,45.0,Sports,Gold
4421,21.0,58015.0,Female,Delhi,2,296,63.0,Sports,Gold
3271,32.0,42433.0,Female,Pune,13,185,,Beauty,Silver
4980,32.0,57089.0,Male,Bhopal,2,213,55.0,Beauty,Silver
422,46.0,58303.0,Male,Delhi,5,281,39.0,Sports,Basic
5606,,64433.0,Male,Pune,2,23,19.0,Fashion,Silver
1084,68.0,51888.0,Female,Bhopal,7,89,16.0,Fashion,Gold
3500,22.0,54595.0,Male,Bhopal,13,8,78.0,Electronics,Gold
7274,66.0,35747.0,Female,Mumbai,15,64,60.0,Beauty,Silver
5999,26.0,37238.0,Male,Delhi,10,99,17.0,Fashion,Basic
6775,40.0,71987.0,Male,Bhopal,16,349,87.0,Electronics,Silver
5379,23.0,50604.0,Male,Bhopal,12,119,63.0,Beauty,Silver
1435,27.0,84870.0,Female,Delhi,3,311,73.0,Fashion,Basic
7936,42.0,58213.0,Male,Mumbai,10,72,27.0,Fashion,Basic
1570,,64552.0,Male,Mumbai,1,26,,Sports,Silver
2529,36.0,,Male,Mumbai,14,186,21.0,Sports,Silver
5546,45.0,42470.0,Female,Indore,9,84,75.0,Sports,Silver
1812,65.0,56996.0,Male,Indore,7,103,76.0,Fashion,Basic
9934,36.0,64411.0,Male,Indore,15,139,20.0,Fashion,Basic
8519,66.0,34226.0,Male,Delhi,3,69,8.0,Sports,Gold
1051,65.0,51543.0,Male,Pune,2,329,69.0,Fashion,Silver
3934,69.0,50986.0,Male,Pune,8,22,28.0,Sports,Gold
6826,33.0,59335.0,Female,Mumbai,6,351,51.0,Sports,Gold
2312,46.0,64867.0,Female,Indore,9,83,67.0,Grocery,Basic
9923,20.0,57705.0,Male,Indore,10,216,46.0,Electronics,Silver
4137,51.0,47082.0,Male,Indore,14,46,58.0,Sports,Basic
2727,35.0,44368.0,Male,Mumbai,3,343,32.0,Grocery,Silver
3455,43.0,35445.0,Male,Bhopal,9,151,73.0,Beauty,Gold
9076,58.0,62370.0,Male,Delhi,15,111,38.0,Sports,Basic
565,54.0,29753.0,Male,Mumbai,8,341,74.0,Electronics,Basic
3111,55.0,74584.0,Male,Indore,9,108,59.0,Electronics,Gold
3851,45.0,54392.0,Female,Indore,13,69,48.0,Grocery,Gold
4730,54.0,59535.0,Male,Bhopal,5,171,27.0,Sports,Basic
4807,53.0,49727.0,Female,Mumbai,8,35,80.0,Grocery,Basic
1202,69.0,52009.0,Female,Bhopal,9,166,89.0,Electronics,Basic
4017,61.0,34137.0,Male,Pune,4,73,44.0,Fashion,Silver
2879,50.0,69713.0,Male,Delhi,7,295,37.0,Beauty,Gold
1747,62.0,41134.0,Male,Delhi,16,348,57.0,Fashion,Silver
7646,35.0,69998.0,Female,Delhi,3,40,84.0,Fashion,Gold
3680,25.0,60643.0,Male,Mumbai,13,38,45.0,Grocery,Silver
1380,67.0,61598.0,Male,Bhopal,18,336,32.0,Grocery,Basic
628,47.0,47873.0,Male,Pune,2,62,66.0,Electronics,Gold
3675,41.0,,Female,Mumbai,17,273,24.0,Electronics,Silver
